Count,NUMS,Topic,type
1,988,-1,Other
10,175,6,Business
24,55,-1,Other
10,175,6,Business
10,618,6,Business
20,358,-1,Other
10,60,5,Public Serv
20,212,4,Residence
20,743,5,Public Serv
5,674,2,University
35,40,5,Public Serv
3,286,5,Public Serv
165,146,2,University
7,582,-1,Other
7,497,3,Company
8,776,6,Business
12,918,-1,Other
20,193,5,Public Serv
8,2168,6,Business
8,509,-1,Other
10,495,-1,Other
20,147,-1,Other
4,990,-1,Other
26,1324,-1,Other
12,743,5,Public Serv
11,141,4,Residence
3,60,-1,Other
13,221,-1,Other
10,1152,-1,Other
10,954,4,Residence
7,93,-1,Other
10,175,6,Business
10,697,-1,Other
10,75,5,Public Serv
10,75,5,Public Serv
10,222,5,Public Serv
29,13,-1,Other
8,1147,4,Residence
4,462,4,Residence
10,824,2,University
12,238,-1,Other
10,211,-1,Other
20,382,6,Business
15,325,-1,Other
4,4,2,University
14,2605,-1,Other
10,377,-1,Other
36,1242,-1,Other
20,643,-1,Other
2,618,6,Business
5,1254,5,Public Serv
12,1468,-1,Other
5,2059,-1,Other
10,436,-1,Other
5,1881,4,Residence
167,581,-1,Other
10,442,4,Residence
2,277,6,Business
20,571,-1,Other
12,132,-1,Other
5,67,-1,Other
11,355,4,Residence
36,820,6,Business
10,587,6,Business
8,1242,-1,Other
14,42,5,Public Serv
55,1197,4,Residence
20,237,-1,Other
2,433,-1,Other
24,960,4,Residence
24,221,-1,Other
12,876,4,Residence
15,194,-1,Other
12,571,-1,Other
10,1083,4,Residence
10,834,-1,Other
92,656,4,Residence
20,187,-1,Other
10,954,4,Residence
5,984,-1,Other
30,14,-1,Other
72,266,-1,Other
5,83,1,Scenic
9,114,-1,Other
1,84,5,Public Serv
16,358,4,Residence
24,787,4,Residence
5,377,-1,Other
24,57,-1,Other
20,1904,4,Residence
4,364,-1,Other
45,20,-1,Other
12,351,-1,Other
2,0,0,Water
12,1881,4,Residence
4,1158,4,Residence
25,150,-1,Other
34,141,4,Residence
5,715,-1,Other
4,1450,4,Residence
5,776,5,Public Serv
